game_id,season,week,home_team,away_team,gametime,stadium,location,roof,surface,temp,wind,home_bye,away_bye,home_time_advantage,dif_surface,div_game,hfa_base,home_bye_adj,away_bye_adj,home_time_advantage_adj,dif_surface_adj,div_game_adj,hfa_adj
1999_10_MIA_BUF,1999,10,BUF,MIA,,Ralph Wilson Stadium,Home,outdoors,astroturf,46.0,21.0,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_10_MIN_CHI,1999,10,CHI,MIN,,Soldier Field,Home,outdoors,grass,50.0,16.0,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_10_TEN_CIN,1999,10,CIN,TEN,,Cinergy Field,Home,outdoors,astroturf,63.0,8.0,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_10_GB_DAL,1999,10,DAL,GB,,Texas Stadium,Home,outdoors,astroturf,86.0,5.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_10_BAL_JAX,1999,10,JAX,BAL,,Alltel Stadium,Home,outdoors,grass,77.0,11.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_10_SF_NO,1999,10,NO,SF,,Louisiana Superdome,Home,dome,astroturf,,,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_10_IND_NYG,1999,10,NYG,IND,,Giants Stadium,Home,outdoors,astroturf,56.0,8.0,1,0,0.0,0,0,2.5,0.717,-0.0,0.0,0.0,-0.0,3.217
1999_10_LAC_OAK,1999,10,OAK,LAC,,Network Associates Coliseum,Home,outdoors,grass,67.0,5.0,1,0,0.0,0,1,2.5,0.717,-0.0,0.0,0.0,-1.128,2.089
1999_10_WAS_PHI,1999,10,PHI,WAS,,Veterans Stadium,Home,outdoors,astroturf,60.0,0.0,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_10_CLE_PIT,1999,10,PIT,CLE,,Three Rivers Stadium,Home,outdoors,astroturf,58.0,18.0,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_10_DEN_SEA,1999,10,SEA,DEN,,Seattle Kingdome,Home,dome,astroturf,,,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_10_CAR_LAR,1999,10,LAR,CAR,,TWA Dome,Home,dome,astroturf,,,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
