,level,level_weeks,reg_weeks,kick_in,mae
59,2.25,14,275,1.0,10.629519185214225
60,2.25,15,271,1.0,10.629520120853815
61,2.25,11,269,1.0,10.62952399246663
62,2.5,10,281,0.75,10.629524628798524
63,2.25,12,278,1.0,10.62952605767885
64,2.5,11,286,0.75,10.629528513739212
65,2.25,13,270,1.0,10.629528816384028
66,2.25,10,264,1.0,10.629533431256265
67,2.5,12,284,0.75,10.629537760638748
68,2.25,13,279,1.0,10.629542611531996
69,2.25,17,272,1.0,10.62954433388708
70,2.25,13,277,1.0,10.629546020082945
71,2.25,17,273,1.0,10.629547124352634
72,2.25,16,274,1.0,10.629547220006652
73,2.25,13,280,1.0,10.629547962476114
74,2.5,12,285,0.75,10.629549293671928
75,2.25,10,268,1.0,10.629549357132737
76,2.25,10,284,0.75,10.629551369878453
77,2.25,11,285,0.75,10.6295521322078
78,2.25,14,276,1.0,10.629552728940093
79,2.25,11,281,1.0,10.629553295894626
80,2.25,11,286,0.75,10.629558086782032
81,2.25,12,269,1.0,10.62955921907948
82,2.5,11,282,0.75,10.62956004235399
83,2.5,10,280,0.75,10.629561491933543
84,2.25,10,287,0.75,10.62956261739813
85,2.25,15,275,1.0,10.629565537296408
86,2.25,10,265,1.0,10.629567208051204
87,2.25,16,271,1.0,10.629569070359366
88,2.25,13,278,1.0,10.629570686187996
89,2.25,10,263,1.0,10.629572894448762
90,2.5,11,281,0.75,10.629574563453566
91,2.25,14,270,1.0,10.629575298974808
92,2.25,10,267,1.0,10.629575396128573
93,2.5,12,283,0.75,10.629575816861257
94,2.25,11,264,1.0,10.629580426478102
95,2.25,11,268,1.0,10.62958111420764
96,2.25,14,277,1.0,10.629590179745056
97,2.25,10,282,1.0,10.629591075079912
98,2.25,18,272,1.0,10.62959389029936
99,2.5,12,286,0.75,10.629594237215274
100,2.25,17,274,1.0,10.629594638930945
101,2.25,14,279,1.0,10.62959477169479
102,2.25,18,273,1.0,10.629595516089614
103,2.25,10,266,1.0,10.62959595607246
104,2.25,11,284,0.75,10.629596279387542
105,2.25,15,276,1.0,10.62959708373253
106,2.25,13,269,1.0,10.629598944188205
107,2.5,13,284,0.75,10.629599200334956
108,2.25,12,285,0.75,10.629601206354296
109,2.5,10,287,0.75,10.62960179866405
110,2.25,10,283,0.75,10.62960228391716
111,2.25,10,262,1.0,10.629604469808042
112,2.5,10,279,0.75,10.62960466494857
113,2.5,11,280,0.75,10.62960722597424
114,2.25,11,265,1.0,10.629608105942534
115,2.25,12,286,0.75,10.629608599686332
116,2.25,14,280,1.0,10.62960868694201
117,2.25,11,267,1.0,10.62960899771254
118,2.25,16,275,1.0,10.629611947865635
119,2.5,13,285,0.75,10.629612107739378
120,2.25,11,287,0.75,10.62961295138654
121,2.5,12,282,0.75,10.629613390183623
122,2.25,10,299,0.75,10.629613923940973
123,2.25,12,268,1.0,10.629614865959615
124,2.25,14,278,1.0,10.62961690081596
125,2.25,17,271,1.0,10.629617207018295
126,2.5,10,273,0.75,10.629618382897904
