,season,week,hfa_base,forward_observed_hfa,trailing_observed_hfa
2395,2008,2,2.5,2.8166736394166945,1.989779418706894
2410,2008,3,2.5,2.735137954354286,2.5560294091701508
2426,2008,4,2.5,2.205416789650917,2.6661880791187285
2439,2008,5,2.5,2.121977236866951,2.7497550427913664
2453,2008,6,2.5,1.696133816242218,2.9847907721996307
2467,2008,7,2.5,1.6208623766899108,3.2362907946109774
2481,2008,8,2.5,1.5054489225149155,3.2442578256130217
2495,2008,9,2.5,2.0218060582876207,3.1128045320510864
2509,2008,10,2.5,2.1148417830467223,2.9303402334451674
2523,2008,11,2.5,2.303341794013977,3.1490381568670274
2539,2008,12,2.5,2.4931230425834654,2.609466740489006
2555,2008,13,2.5,2.6557480454444886,2.6125783413648604
2571,2008,14,2.5,2.5262939095497132,3.0513449996709823
2587,2008,15,2.5,2.7617939114570618,3.182563748955727
2603,2008,16,2.5,2.969793915748596,3.0722825080156326
2619,2008,17,2.5,2.525325155258179,3.0613137513399122
2635,2008,18,2.5,,
2639,2008,19,2.5,,
2643,2008,20,2.5,,
2645,2008,21,2.5,,
2646,2009,1,2.5,2.5444590732455254,2.790845012664795
2662,2009,2,2.5,2.756566213071346,2.43775127530098
2678,2009,3,2.5,2.7845170959830283,2.1256262809038162
2694,2009,4,2.5,2.0913027808070184,2.563952198624611
2708,2009,5,2.5,2.2097313448786737,2.8166736394166945
2722,2009,6,2.5,2.1600939676165583,2.735137954354286
2736,2009,7,2.5,2.4543975457549094,2.205416789650917
2749,2009,8,2.5,2.3051138862967493,2.121977236866951
2762,2009,9,2.5,2.192171587049961,1.696133816242218
2775,2009,10,2.5,2.067465342581272,1.6208623766899108
2790,2009,11,2.5,2.342473690211773,1.5054489225149155
2806,2009,12,2.5,2.0004736945033073,2.0218060582876207
2822,2009,13,2.5,2.096442447602749,2.1148417830467223
2838,2009,14,2.5,1.926536177098751,2.303341794013977
2854,2009,15,2.5,2.0440361842513086,2.4931230425834654
2870,2009,16,2.5,2.433536206185818,2.6557480454444886
2886,2009,17,2.5,2.1373486891388893,2.5262939095497132
2902,2009,18,2.5,,
2906,2009,19,2.5,,
2910,2009,20,2.5,,
2912,2009,21,2.5,,
2913,2010,1,2.5,1.8526924386620522,2.7617939114570618
2929,2010,2,2.5,1.81093278080225,2.969793915748596
2945,2010,3,2.5,2.2244736447930338,2.525325155258179
2961,2010,4,2.5,2.3524438738822937,2.5444590732455254
2975,2010,5,2.5,2.3940867304801943,2.756566213071346
2989,2010,6,2.5,2.0910153061151506,2.7845170959830283
3003,2010,7,2.5,2.1991537004709243,2.0913027808070184
3017,2010,8,2.5,2.2167965561151504,2.2097313448786737
3030,2010,9,2.5,2.157032123208046,2.1600939676165583
3043,2010,10,2.5,2.22579103410244,2.4543975457549094
3057,2010,11,2.5,2.5514160603284837,2.3051138862967493
3073,2010,12,2.5,2.858259817957878,2.192171587049961
3089,2010,13,2.5,3.0168223112821577,2.067465342581272
3105,2010,14,2.5,3.0493764609098433,2.342473690211773
3121,2010,15,2.5,3.193470212817192,2.0004736945033073
3137,2010,16,2.5,3.469876465201378,2.096442447602749
3153,2010,17,2.5,3.2968452274799347,1.926536177098751
3169,2010,18,2.5,,
3173,2010,19,2.5,,
3177,2010,20,2.5,,
3179,2010,21,2.5,,
3180,2011,1,2.5,2.966463965177536,2.0440361842513086
3196,2011,2,2.5,2.8121916234493254,2.433536206185818
3212,2011,3,2.5,2.908530905842781,2.1373486891388893
3228,2011,4,2.5,2.8561246544122696,1.8526924386620522
3244,2011,5,2.5,2.3987785249948503,1.81093278080225
3257,2011,6,2.5,2.0904653527773918,2.2244736447930338
3270,2011,7,2.5,1.9301736840046941,2.3524438738822937
3283,2011,8,2.5,1.810423678997904,2.3940867304801943
3296,2011,9,2.5,2.251169211510569,2.0910153061151506
3310,2011,10,2.5,2.3281691976822914,2.1991537004709243
3326,2011,11,2.5,2.5379326053895057,2.2167965561151504
3340,2011,12,2.5,2.570338869933039,2.157032123208046
3356,2011,13,2.5,2.6685576089657843,2.22579103410244
3372,2011,14,2.5,2.7872138627804817,2.5514160603284837
3388,2011,15,2.5,2.6606826045550407,2.858259817957878
3404,2011,16,2.5,2.506276355031878,3.0168223112821577
3420,2011,17,2.5,2.5102450945414603,3.0493764609098433
3436,2011,18,2.5,,
3440,2011,19,2.5,,
3444,2011,20,2.5,,
3446,2011,21,2.5,,
3447,2012,1,2.5,2.6344370343722403,3.193470212817192
3463,2012,2,2.5,2.4890977361239495,3.469876465201378
3479,2012,3,2.5,2.3665706404484808,3.2968452274799347
3495,2012,4,2.5,2.6412706621922553,2.966463965177536
3510,2012,5,2.5,2.64811589801684,2.8121916234493254
3524,2012,6,2.5,2.686343897227198,2.908530905842781
3538,2012,7,2.5,2.5519867547787727,2.8561246544122696
3551,2012,8,2.5,3.0743175157345832,2.3987785249948503
3565,2012,9,2.5,3.190567523241043,2.0904653527773918
3579,2012,10,2.5,3.425267532467842,1.9301736840046941
3593,2012,11,2.5,3.7560800284147264,1.810423678997904
3607,2012,12,2.5,3.608330029249191,2.251169211510569
3623,2012,13,2.5,3.640017557144165,2.3281691976822914
3639,2012,14,2.5,3.4127675533294677,2.5379326053895057
3655,2012,15,2.5,3.383173793554306,2.570338869933039
3671,2012,16,2.5,3.3004238069057465,2.6685576089657843
3687,2012,17,2.5,3.0215175211429597,2.7872138627804817
3703,2012,18,2.5,,
3707,2012,19,2.5,,
3711,2012,20,2.5,,
3713,2012,21,2.5,,
3714,2013,1,2.5,3.2461217135190963,2.6606826045550407
3730,2013,2,2.5,3.494638356566429,2.506276355031878
3746,2013,3,2.5,3.0873821169137954,2.5102450945414603
3762,2013,4,2.5,3.1694464117288588,2.6344370343722403
3777,2013,5,2.5,3.171696439385414,2.4890977361239495
3791,2013,6,2.5,3.464206686615944,2.3665706404484808
3806,2013,7,2.5,3.6396066814661028,2.6412706621922553
3821,2013,8,2.5,3.363261444121599,2.64811589801684
3834,2013,9,2.5,3.496819145232439,2.686343897227198
3847,2013,10,2.5,3.9101137943565845,2.5519867547787727
3861,2013,11,2.5,3.262201339751482,3.0743175157345832
3876,2013,12,2.5,3.0715673990547656,3.190567523241043
3890,2013,13,2.5,3.126773674041033,3.425267532467842
3906,2013,14,2.5,2.62236742451787,3.7560800284147264
3922,2013,15,2.5,2.684961173683405,3.608330029249191
3938,2013,16,2.5,2.68080490604043,3.640017557144165
3954,2013,17,2.5,2.626992378383875,3.4127675533294677
3970,2013,18,2.5,,
3974,2013,19,2.5,,
3978,2013,20,2.5,,
3980,2013,21,2.5,,
3981,2014,1,2.5,2.611510241776705,3.383173793554306
3997,2014,2,2.5,2.4083182819187643,3.3004238069057465
4013,2014,3,2.5,2.3698450811207294,3.0215175211429597
4029,2014,4,2.5,2.251447618752718,3.2461217135190963
4042,2014,5,2.5,2.150757897645235,3.494638356566429
4057,2014,6,2.5,2.359319431334734,3.0873821169137954
4072,2014,7,2.5,1.8238265819847583,3.1694464117288588
4087,2014,8,2.5,1.4155051417648792,3.171696439385414
4102,2014,9,2.5,1.5499594755470754,3.464206686615944
4115,2014,10,2.5,1.1291782207787038,3.6396066814661028
4128,2014,11,2.5,1.268763044476509,3.363261444121599
4142,2014,12,2.5,1.1157317966222764,3.496819145232439
4157,2014,13,2.5,0.9661692947149276,3.9101137943565845
4173,2014,14,2.5,1.3412317723035811,3.262201339751482
4189,2014,15,2.5,1.474263033270836,3.0715673990547656
4205,2014,16,2.5,1.484575518965721,3.126773674041033
4221,2014,17,2.5,1.856700536608696,2.62236742451787
4237,2014,18,2.5,,
4241,2014,19,2.5,,
4245,2014,20,2.5,,
4247,2014,21,2.5,,
4248,2015,1,2.5,1.872254118323326,2.684961173683405
4264,2015,2,2.5,1.7182273358106612,2.68080490604043
4280,2015,3,2.5,1.8687336415052413,2.626992378383875
4296,2015,4,2.5,1.933876484632492,2.611510241776705
4311,2015,5,2.5,2.210453861951828,2.4083182819187643
4325,2015,6,2.5,2.091874200105667,2.3698450811207294
4339,2015,7,2.5,2.129212111234665,2.251447618752718
4353,2015,8,2.489679214913111,1.9547890365123748,2.150757897645235
4367,2015,9,2.4804876193043226,1.9232025146484375,2.359319431334734
4380,2015,10,2.478915782656433,2.404828691482544,1.8238265819847583
4394,2015,11,2.4775466757570683,2.6095518946647642,1.4155051417648792
4408,2015,12,2.464965336367161,2.192458140850067,1.5499594755470754
4424,2015,13,2.445541493184855,2.667489397525787,1.1291782207787038
4440,2015,14,2.4342886506751107,2.6774268984794616,1.268763044476509
4456,2015,15,2.4134597482829117,2.584208145365119,1.1157317966222764
4472,2015,16,2.3956750438490664,2.4715206410735844,0.9661692947149276
4488,2015,17,2.378442752956571,2.613870659098029,1.3412317723035811
4504,2015,18,2.378442752956571,,
4508,2015,19,2.378442752956571,,
4512,2015,20,2.378442752956571,,
4514,2015,21,2.378442752956571,,
4515,2016,1,2.365143457156107,2.681518581137061,1.474263033270836
4531,2016,2,2.3509332285394273,2.33101411126554,1.484575518965721
4547,2016,3,2.335910495316574,2.0456971433013678,1.856700536608696
4563,2016,4,2.3271547383096185,2.0762685444206,1.872254118323326
4578,2016,5,2.3244136026558713,2.3143994953483342,1.7182273358106612
4592,2016,6,2.321332703953592,2.135530224069953,1.8687336415052413
4607,2016,7,2.312998960695522,2.1238516595214607,1.933876484632492
4622,2016,8,2.311544058498196,2.0221946086734532,2.210453861951828
4635,2016,9,2.3095724609208297,2.1314037408679725,2.091874200105667
4648,2016,10,2.3104519207346352,2.3590466108173134,2.129212111234665
4662,2016,11,2.305832406415015,2.3444240178912876,1.9547890365123748
4676,2016,12,2.3033491998206226,2.3901740100234745,1.9232025146484375
4692,2016,13,2.3018539724692078,2.3522844579070807,2.404828691482544
4707,2016,14,2.2996529469456606,2.392690720781684,2.6095518946647642
4723,2016,15,2.303635475213382,2.4245969977229835,2.192458140850067
4739,2016,16,2.306506352226738,2.26897198818624,2.667489397525787
4755,2016,17,2.300612126461929,2.2465032186359166,2.6774268984794616
4771,2016,18,2.300612126461929,,
4775,2016,19,2.300612126461929,,
4779,2016,20,2.300612126461929,,
4781,2016,21,2.300612126461929,,
4782,2017,1,2.3016527032119347,2.5511365652084352,2.584208145365119
4797,2017,2,2.3039630647787503,2.8991490721702577,2.4715206410735844
4813,2017,3,2.3015304418341564,2.754299062490463,2.613870659098029
4829,2017,4,2.2976111587721904,2.479509299993515,2.681518581137061
4845,2017,5,2.296971793836647,2.622179639339447,2.33101411126554
4859,2017,6,2.296573975799772,2.6577922716736793,2.0456971433013678
4873,2017,7,2.288523970470045,2.512220871448517,2.0762685444206
4888,2017,8,2.2764096833624348,2.5958811402320863,2.3143994953483342
4901,2017,9,2.2661987297338757,2.698983705043793,2.135530224069953
4914,2017,10,2.260100569431227,2.8220640420913696,2.1238516595214607
4928,2017,11,2.254416159520931,2.884523171186447,2.0221946086734532
4942,2017,12,2.248374980300239,3.0129294097423553,2.1314037408679725
4958,2017,13,2.242144440999102,2.602460640668869,2.3590466108173134
4974,2017,14,2.2351960356544938,2.3230856359004974,2.3444240178912876
4990,2017,15,2.2388664215956635,2.03642937541008,2.3901740100234745
5006,2017,16,2.2423869379262618,1.5195543706417083,2.3522844579070807
5022,2017,17,2.246323867652946,1.335710608959198,2.392690720781684
5038,2017,18,2.246323867652946,,
5042,2017,19,2.246323867652946,,
5046,2017,20,2.246323867652946,,
5048,2017,21,2.246323867652946,,
5049,2018,1,2.2544648339449345,1.3052001655101777,2.4245969977229835
5065,2018,2,2.2624665395613057,1.2215751647949218,2.26897198818624
5081,2018,3,2.2622560464981434,1.148238629102707,2.2465032186359166
5097,2018,4,2.2628813174788425,0.6436767280101776,2.5511365652084352
5112,2018,5,2.264073384240837,0.3577981531620026,2.8991490721702577
5127,2018,6,2.2715066941381283,0.7742789268493653,2.754299062490463
5142,2018,7,2.2886830812765724,0.7696635246276855,2.479509299993515
5156,2018,8,2.301494553310933,0.7495865851640702,2.622179639339447
5170,2018,9,2.3031645769130478,0.8929025068879127,2.6577922716736793
5183,2018,10,2.301998476685478,0.9181301757693291,2.512220871448517
5197,2018,11,2.2972503017279675,0.5450532361865044,2.5958811402320863
5210,2018,12,2.28841982037408,0.41431365460157393,2.698983705043793
5225,2018,13,2.2865752487067805,0.13009492605924605,2.8220640420913696
5241,2018,14,2.2883109783667765,-0.04118632376194,2.884523171186447
5257,2018,15,2.2931590423574106,-0.3445863097906113,3.0129294097423553
5273,2018,16,2.2986895319680345,-0.3892113000154495,2.602460640668869
5289,2018,17,2.306590704262378,-0.08808631002902985,2.3230856359004974
5305,2018,18,2.306590704262378,,
5309,2018,19,2.306590704262378,,
5313,2018,20,2.306590704262378,,
5315,2018,21,2.306590704262378,,
5316,2019,1,2.3086619231112877,0.041788706183433534,2.03642937541008
5332,2019,2,2.3007608379719215,0.3006199561059475,1.5195543706417083
5348,2019,3,2.284449733340068,0.20085073933005332,1.335710608959198
5364,2019,4,2.256482332154228,0.6933635734021664,1.3052001655101777
5379,2019,5,2.226371636751189,0.5481635831296444,1.2215751647949218
5394,2019,6,2.191802495501093,0.2668751321732998,1.148238629102707
5408,2019,7,2.1595839249012196,0.645910831540823,0.6436767280101776
5422,2019,8,2.1296622515188934,0.2142227254807949,0.3577981531620026
